1A52_Ab_1_000,1A52_Aa_2_100,1,2,0
1A52_Ab_1_000,1A52_Aa_3_110,1,3,0
1A52_Ab_1_000,1A52_Ab_4_001,1,4,0
1A52_Ab_1_000,1A52_Ab_14_0-10,1,5,0
1A52_Ab_1_000,1A52_Aa_18_0-11,1,6,0
1A52_Ab_1_000,1A52_Bb_2_100,1,7,0
1A52_Ab_1_000,1A52_Bb_3_110,1,8,0
1A52_Ab_1_000,1A52_Bb_11_100,1,9,0
1A52_Ab_1_000,1ERE_Ab_1_-100,1,10,0
1A52_Ab_1_000,1ERE_Ab_1_000,1,11,0
1A52_Ab_1_000,1ERE_Ac_1_000,1,12,0
1A52_Ab_1_000,1ERE_Be_1_001,1,13,0
1A52_Ab_1_000,1ERE_Cd_1_-100,1,14,0
1A52_Ab_1_000,1ERE_Cd_1_000,1,15,0
1A52_Ab_1_000,1ERE_Cf_2_101,1,16,0
1A52_Ab_1_000,1ERE_Df_1_000,1,17,0
1A52_Ab_1_000,1ERE_De_2_1-11,1,18,0
1A52_Ab_1_000,1ERE_De_2_2-11,1,19,0
1A52_Ab_1_000,1ERE_Ef_1_000,1,20,0
1A52_Ab_1_000,1ERE_Ef_1_100,1,21,0
1A52_Ab_1_000,1ERR_Ab_1_000,1,22,0
1A52_Ab_1_000,1ERR_Ab_1_010,1,23,0
1OVL_Df_1_000,1P8D_Ab_1_100,101,102,0
1A52_Ab_1_000,1ERR_Ab_3_000,1,24,0
1OVL_Df_1_000,1P8D_Ab_1_000,101,103,0
1OVL_Df_1_000,1P8D_Ab_2_001,101,104,0
1U3Q_Ab_2_1-11,1U3Q_Ac_2_1-10,151,152,0
1OVL_Df_1_000,1P8D_Aa_3_101,101,105,0
1U3Q_Ab_2_1-11,1U3Q_Bd_1_000,151,153,0
1OVL_Df_1_000,1P8D_Ab_3_101,101,106,0
1U3Q_Ab_2_1-11,1U3Q_Bd_2_001,151,154,0
1U3Q_Ab_2_1-11,1U3Q_Cd_1_00-1,151,155,0
1OVL_Df_1_000,1P8D_Ab_5_000,101,107,0
1OVL_Df_1_000,1P8D_Bb_2_001,101,108,0
1U3Q_Ab_2_1-11,1U3Q_Cd_1_100,151,156,0
1OVL_Df_1_000,1PCG_Ab_1_000,101,109,0
1U3Q_Ab_2_1-11,1U3Q_Cc_2_100,151,157,0
1U3Q_Ab_2_1-11,1U3Q_Cd_2_000,151,158,0
1OVL_Df_1_000,1PCG_Aa_2_010,101,110,0
1U3Q_Ab_2_1-11,1U3Q_Cd_2_0-10,151,159,0
1A52_Ab_1_000,1ERR_Ab_3_0-10,1,25,0
1OVL_Df_1_000,1PCG_Aa_5_-1-10,101,111,0
1OVL_Df_1_000,1PCG_Ab_5_0-10,101,112,0
1XQC_Bd_2_1-11,1XQC_Bd_2_0-11,251,252,0
1XQC_Bd_2_1-11,1XQC_Cd_1_00-1,251,253,0
1OVL_Df_1_000,1PCG_Aa_6_-100,101,113,0
1U3Q_Ab_2_1-11,1U3R_Ab_1_000,151,160,0
1OVL_Df_1_000,1PCG_Bb_3_100,101,114,0
1U3Q_Ab_2_1-11,1U3R_Ab_1_100,151,161,0
1OVL_Df_1_000,1PZL_Aa_4_-100,101,115,0
1U3Q_Ab_2_1-11,1U3R_Ab_2_010,151,162,0
1XQC_Bd_2_1-11,1XQC_Cd_1_000,251,254,0
1OVL_Df_1_000,1QKM_Aa_6_001,101,118,0
1U3Q_Ab_2_1-11,1U3R_Ab_2_110,151,163,0
1U3Q_Ab_2_1-11,1U3R_Ab_3_100,151,164,0
1ZAF_Ab_2_110,1ZAF_Ab_3_100,301,302,0
1U3Q_Ab_2_1-11,1U3R_Ab_3_1-10,151,165,0
1ZAF_Ab_2_110,1ZAF_Ab_3_1-10,301,303,0
1U3Q_Ab_2_1-11,1U3R_Bb_4_-100,151,166,0
1ZAF_Ab_2_110,1ZAF_Bb_4_-100,301,304,0
1U3Q_Ab_2_1-11,1U3S_Ab_1_000,151,167,0
1ZAF_Ab_2_110,1ZDT_Ab_1_010,301,305,0
1U3Q_Ab_2_1-11,1U3S_Ab_1_100,151,168,0
1ZAF_Ab_2_110,1ZDT_Ab_4_000,301,306,0
1XQC_Bd_2_1-11,1XV9_Ab_1_000,251,255,0
1XQC_Bd_2_1-11,1XV9_Ac_1_000,251,256,0
2EWP_Ee_2_101,2FAI_Ab_1_00-1,351,352,0
1U3Q_Ab_2_1-11,1U3S_Ab_2_010,151,169,0
1XQC_Bd_2_1-11,1XV9_Ad_1_000,251,257,0
2EWP_Ee_2_101,2FAI_Ab_1_000,351,353,0
1A52_Ab_1_000,1G50_Ab_2_10-1,1,33,0
1OVL_Df_1_000,1QKM_Aa_10_110,101,119,0
1OVL_Df_1_000,1QKT_Aa_2_10-1,101,120,0
1U3Q_Ab_2_1-11,1U3S_Ab_2_110,151,170,0
1OVL_Df_1_000,1QKT_Aa_3_010,101,121,0
2GPV_Cf_2_103,2GPV_Cf_2_102,401,402,0
2GPV_Cf_2_103,2GPV_Ce_4_0-12,401,403,0
1U3Q_Ab_2_1-11,1U3S_Ab_3_100,151,171,0
