,size,cc_score,eva_score,cc_values,eva_values
0,1.3,0.8341666666666667,0.6946720607434893,"[0.35, 1.0, 0.5, 0.5, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.3333333333333333, 0.8571428571428571, 0.5, 0.5, 0.6296296296296297, 0.6666666666666666, 0.5, 0.36363636363636365, 1.0, 0.5, 1.0, 1.0, 1.0]"
1,1.4,0.7741228070175439,0.6159683570397856,"[0.3157894736842105, 1.0, 0.5, 0.3333333333333333, 1.0, 0.5, 0.5, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]","[1.0, 0.375, 0.6666666666666666, 0.8571428571428571, 0.25, 0.3333333333333333, 0.7777777777777778, 0.6666666666666666, 0.36363636363636365, 0.5, 1.0, 0.3333333333333333, 0.5, 1.0]"
2,1.5,0.8282894736842105,0.6589577750292036,"[0.3157894736842105, 1.0, 1.0, 0.5, 1.0, 0.75, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.375, 0.6666666666666666, 0.8571428571428571, 0.25, 0.75, 0.6296296296296297, 0.5, 0.36363636363636365, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 1.0]"
3,1.6,0.8381578947368421,0.7052300785634119,"[0.2631578947368421, 1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 0.5, 0.3333333333333333, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.4444444444444444, 0.5, 0.8333333333333334, 0.5, 0.4, 0.7037037037037037, 0.6666666666666666, 0.36363636363636365, 1.0, 0.6666666666666666, 0.5, 1.0, 1.0, 1.0]"
4,1.7,0.7843137254901961,0.725335898669232,"[0.35294117647058826, 1.0, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]","[1.0, 0.5555555555555556, 0.5, 0.8571428571428571, 0.6666666666666666, 0.4, 0.7037037037037037, 0.6666666666666666, 0.36363636363636365, 1.0, 0.6666666666666666, 0.5, 1.0, 1.0, 1.0]"
5,1.8,0.8158333333333333,0.7276049182299182,"[0.26666666666666666, 1.0, 0.5, 1.0, 0.75, 0.6666666666666666, 1.0, 0.8, 0.5, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0]","[1.0, 0.6, 0.6666666666666666, 0.5714285714285714, 0.5714285714285714, 0.6, 0.5185185185185185, 0.75, 0.36363636363636365, 1.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0]"
6,1.9,0.8022222222222222,0.7515102000396119,"[0.2777777777777778, 1.0, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 0.6, 0.6666666666666666, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.625, 0.5, 0.5, 0.8333333333333334, 0.5, 0.7037037037037037, 0.75, 0.36363636363636365, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]"
7,2.0,0.771969696969697,0.6590600575894694,"[0.2727272727272727, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 0.25, 1.0, 0.75, 0.8333333333333334, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0]","[1.0, 0.625, 0.6, 0.5, 0.8333333333333334, 0.5, 0.5, 0.6153846153846154, 0.6666666666666666, 0.36363636363636365, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0]"
